Sample,Train,Test
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
5,23.9002453916375,14.7163214383464
6,19.3983525767689,28.1695471851668
7,21.0106030500638,17.3754583183522
8,18.9026621332172,25.7600645149484
9,16.791590290233,18.2988734371505
10,19.9846573390409,15.2294434322631
11,20.3512218574533,19.702385926673
12,18.9390829481412,19.0217147247753
13,15.4260193598964,18.4540320024372
14,13.5759663942165,15.4941026432561
15,16.2212801370123,19.559901807165
16,13.6343954311627,21.1320582552979
17,13.5733417642353,30.635267793181
18,15.3742102169742,17.3297025672304
19,13.9409605330763,19.6970030481676
20,15.0692073870827,1218.37107106498
21,14.1930071118478,20.0309729863926
22,14.2497201901024,18.9156461108734
23,16.5506783776808,378.201479600588
24,12.8044880153655,2776.58290503209
25,14.9346311161859,1740.34408444673
26,14.8457784579774,18.5669816729238
27,15.5172566153183,1868.98424081115
28,15.2918240058526,17.853519556586
29,17.4525658630365,18.756564144004
30,16.7499968406835,18.6511742794867
31,14.5972291666478,539.153018276828
32,17.6571427141389,574.29744326942
33,17.8472459004534,18.7273815970273
34,16.6613017018602,80.6881842968763
35,14.3535584198335,298.224025362077
36,15.1484357693519,3202109.73609113
37,15.2908703752987,186.491503054275
38,15.0080013936141,2439.87023328809
39,15.7205995493697,16.6924330508242
40,15.9334049340456,1949.00099697987
41,15.7899010288732,19555207.8781592
42,15.4534315365335,3103.26327358322
43,16.1869524731842,16.3047253530679
44,14.935724400779,27225597.696635
45,15.6429185669395,143.733292927433
46,14.2704003346875,132.127862049032
47,14.7702167742156,19.3856876164948
48,13.6155675532389,442.852456178747
49,14.4287907100304,3389.63407284611
50,13.4386861719918,29.5504147866126
51,15.9873541037653,449.247909115275
52,12.7993237500916,676.363727078102
53,14.8731388339129,697.223796103035
54,12.1422747824707,748.731441107926
55,14.4159686737435,1081.09093924421
56,14.0607313905935,5103971.03312166
57,13.6396668529029,294.85867703741
58,13.5020350636955,976.782960206991
59,14.2567946151786,343.697031246946
60,13.1252536581389,17.4379442969952
61,13.3296569798058,594.423038516085
62,12.920906639371,15598712.5377628
63,13.2011593051925,16.9963608771568
64,14.1311228591747,30467653.8650156
65,13.6814993123632,1065.4938072853
66,14.5199479297632,596.618159483308
67,13.6736233295461,578.982571311563
68,13.8775855056203,1230.43982096408
69,12.9232765299653,1327.28791518649
70,12.9347333425013,9520058.85867712
71,13.1529707116011,75.3611984040716
72,12.4044656410379,860.706856502177
73,13.389857420005,28321893.7418772
74,14.0110052635164,667.038040873927
75,14.4410876021599,1169.30881411121
76,13.2117214808254,681.97720853352
77,12.9728830768675,1755.5649092652
78,12.5158147426922,17.5521370863339
79,14.6136653826647,901.043820555879
80,12.8948872939083,18727369.0684364
81,12.9138908869229,6290151.73080983
82,12.7759167768761,15.7527337651471
83,13.162906401126,15696091.0624503
84,12.1235026103984,4733500.88435302
85,12.6669972560284,14434856.5958973
86,12.7189933786798,13782108.1011591
87,13.0167205821787,19892983.0635166
88,13.0942882655074,13765346.6689552
89,14.3760657139811,647.455928507905
90,13.966447772661,8392320.5889338
91,12.406565597978,17491877.5794673
92,13.7418586587814,1983209.61093428
93,12.7957462803163,12163092.924033
94,12.9289322886161,6249582.29297423
95,13.171685958401,15489334.4203878
96,12.3026820178805,7452123.37510068
97,13.3865336599076,819.623486017777
98,13.516427367186,120.459326871657
99,12.7131292828571,9728643.92353452
100,13.2005374401026,1520961.87186541
